experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Anxiety_mean,Anxiety_std,Audio_visual_synesthesia_mean,Audio_visual_synesthesia_std,Blissful_state_mean,Blissful_state_std,Changed_meaning_of_percepts_mean,Changed_meaning_of_percepts_std,Complex_imagery_mean,Complex_imagery_std,Disembodiment_mean,Disembodiment_std,Elementary_imagery_mean,Elementary_imagery_std,Experience_of_unity_mean,Experience_of_unity_std,Impaired_control_and_cognition_mean,Impaired_control_and_cognition_std,Insightfulness_mean,Insightfulness_std,Spiritual_experience_mean,Spiritual_experience_std
208,16,0,240,NULL,NULL,5D-ASC(11D+2D),23857311,10.1097/JCP.0b013e3182979d32,"Hysek CM","2013 Oct","Hysek, C.M., Fink, A.E., Simmler, L.D., Donzelli, M., Grouzmann, E. & Liechti, M.E. (2013) Î±â‚-Adrenergic receptors contribute to the acute effects of 3,4-methylenedioxymethamphetamine in humans. Journal of clinical psychopharmacology, 5, 658-66.","Preclinical studies implicate a role for Î±â‚-noradrenergic receptors in the
effects of psychostimulants, including 3,4-methylenedioxymethamphetamine (MDMA,
""ecstasy""). The present study evaluated the effects of the Î±â‚-noradrenergic
receptor antagonist doxazosin on the acute pharmacodynamic and pharmacokinetic
response to MDMA in 16 healthy subjects. Doxazosin (8 mg/d) or placebo was
administered for 3 days before MDMA (125 mg) or placebo using a randomized,
double-blind, placebo-controlled, 4-session, crossover design. Doxazosin reduced 
MDMA-induced elevations in blood pressure, body temperature, and moderately
attenuated positive mood but enhanced tachycardia associated with MDMA. The
results indicate that Î±â‚-adrenergic receptors contribute to the acute
cardiostimulant and to a minor extent possibly also to the thermogenic and
euphoric effects of MDMA in humans.",NULL,125,mg,"±MDMA hydrochloride (Lipomed AG, Arlesheim,Switzerland) was prepared as gelatin capsules (100 and 25 mg ofthe salt). Identical placebo (mannitol) capsules were prepared. MDMA was administered in a single oral dose of 125 mg, corresponding to a mean dose of 1.91 (SD, 0.39) mg/kg body weight. Doxazosin tablets (4 mg; Cardura continued-release [Pfizer, Zurich, Switzerland]and mannitol as filler) were encapsulated within opaque gelatin capsules, and identical placebo (mannitol pill with mannitol filler)capsules were prepared. A first dose of 4 mg of doxazosin was administered 3 days before MDMA or placebo (-64 hours) at 5:00PM. A second dose of 8 mg was administered 2 days before MDMA or placebo (-40 hours) at 5:00PM. A third dose of 8 mg was administered the day before MDMA or placebo administration (-16 hours) at 5:00PM.",MDMA,"capsule (oral)",0.60,0.00,7.68,12.20,50.24,35.60,30.36,32.68,7.43,7.32,19.39,20.00,5.00,12.20,31.34,29.24,17.43,15.64,10.73,24.36,6.09,11.20
209,16,0,240,NULL,NULL,5D-ASC(11D+2D),23857311,10.1097/JCP.0b013e3182979d32,"Hysek CM","2013 Oct","Hysek, C.M., Fink, A.E., Simmler, L.D., Donzelli, M., Grouzmann, E. & Liechti, M.E. (2013) Î±â‚-Adrenergic receptors contribute to the acute effects of 3,4-methylenedioxymethamphetamine in humans. Journal of clinical psychopharmacology, 5, 658-66.","Preclinical studies implicate a role for Î±â‚-noradrenergic receptors in the
effects of psychostimulants, including 3,4-methylenedioxymethamphetamine (MDMA,
""ecstasy""). The present study evaluated the effects of the Î±â‚-noradrenergic
receptor antagonist doxazosin on the acute pharmacodynamic and pharmacokinetic
response to MDMA in 16 healthy subjects. Doxazosin (8 mg/d) or placebo was
administered for 3 days before MDMA (125 mg) or placebo using a randomized,
double-blind, placebo-controlled, 4-session, crossover design. Doxazosin reduced 
MDMA-induced elevations in blood pressure, body temperature, and moderately
attenuated positive mood but enhanced tachycardia associated with MDMA. The
results indicate that Î±â‚-adrenergic receptors contribute to the acute
cardiostimulant and to a minor extent possibly also to the thermogenic and
euphoric effects of MDMA in humans.",NULL,"0.062500000000000000 + 125","mg + mg","±MDMA hydrochloride (Lipomed AG, Arlesheim,Switzerland) was prepared as gelatin capsules (100 and 25 mg ofthe salt). Identical placebo (mannitol) capsules were prepared. MDMA was administered in a single oral dose of 125 mg, corresponding to a mean dose of 1.91 (SD, 0.39) mg/kg body weight. Doxazosin tablets (4 mg; Cardura continued-release [Pfizer, Zurich, Switzerland]and mannitol as filler) were encapsulated within opaque gelatin capsules, and identical placebo (mannitol pill with mannitol filler)capsules were prepared. A first dose of 4 mg of doxazosin was administered 3 days before MDMA or placebo (-64 hours) at 5:00PM. A second dose of 8 mg was administered 2 days before MDMA or placebo (-40 hours) at 5:00PM. A third dose of 8 mg was administered the day before MDMA or placebo administration (-16 hours) at 5:00PM. + ±MDMA hydrochloride (Lipomed AG, Arlesheim,Switzerland) was prepared as gelatin capsules (100 and 25 mg ofthe salt). Identical placebo (mannitol) capsules were prepared. MDMA was administer","Doxazosin + MDMA","capsule (oral) + capsule (oral)",0.60,0.00,6.46,11.72,46.70,33.16,20.60,29.72,9.02,3.40,14.75,16.08,5.12,7.80,28.17,28.80,14.39,10.76,10.12,16.12,7.07,12.68
211,16,1,240,NULL,NULL,5D-ASC(11D+2D),23857311,10.1097/JCP.0b013e3182979d32,"Hysek CM","2013 Oct","Hysek, C.M., Fink, A.E., Simmler, L.D., Donzelli, M., Grouzmann, E. & Liechti, M.E. (2013) Î±â‚-Adrenergic receptors contribute to the acute effects of 3,4-methylenedioxymethamphetamine in humans. Journal of clinical psychopharmacology, 5, 658-66.","Preclinical studies implicate a role for Î±â‚-noradrenergic receptors in the
effects of psychostimulants, including 3,4-methylenedioxymethamphetamine (MDMA,
""ecstasy""). The present study evaluated the effects of the Î±â‚-noradrenergic
receptor antagonist doxazosin on the acute pharmacodynamic and pharmacokinetic
response to MDMA in 16 healthy subjects. Doxazosin (8 mg/d) or placebo was
administered for 3 days before MDMA (125 mg) or placebo using a randomized,
double-blind, placebo-controlled, 4-session, crossover design. Doxazosin reduced 
MDMA-induced elevations in blood pressure, body temperature, and moderately
attenuated positive mood but enhanced tachycardia associated with MDMA. The
results indicate that Î±â‚-adrenergic receptors contribute to the acute
cardiostimulant and to a minor extent possibly also to the thermogenic and
euphoric effects of MDMA in humans.",NULL,0.062500000000000000,mg,"±MDMA hydrochloride (Lipomed AG, Arlesheim,Switzerland) was prepared as gelatin capsules (100 and 25 mg ofthe salt). Identical placebo (mannitol) capsules were prepared. MDMA was administered in a single oral dose of 125 mg, corresponding to a mean dose of 1.91 (SD, 0.39) mg/kg body weight. Doxazosin tablets (4 mg; Cardura continued-release [Pfizer, Zurich, Switzerland]and mannitol as filler) were encapsulated within opaque gelatin capsules, and identical placebo (mannitol pill with mannitol filler)capsules were prepared. A first dose of 4 mg of doxazosin was administered 3 days before MDMA or placebo (-64 hours) at 5:00PM. A second dose of 8 mg was administered 2 days before MDMA or placebo (-40 hours) at 5:00PM. A third dose of 8 mg was administered the day before MDMA or placebo administration (-16 hours) at 5:00PM.",Doxazosin,"capsule (oral)",0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.97,0.00
212,30,0,360,NULL,healthy,5D-ASC(11D+2D),23861318,10.1093/cercor/bht178,"Bernasconi F","2014 Dec","Bernasconi, F., Schmidt, A., Pokorny, T., Kometer, M., Seifritz, E. & Vollenweider, F.X. (2014) Spatiotemporal brain dynamics of emotional face processing modulations induced by the serotonin 1A/2A receptor agonist psilocybin. Cerebral cortex (New York, N.Y. : 1991), 12, 3221-31.","Emotional face processing is critically modulated by the serotonergic system. For
instance, emotional face processing is impaired by acute psilocybin
administration, a serotonin (5-HT) 1A and 2A receptor agonist. However, the
spatiotemporal brain mechanisms underlying these modulations are poorly
understood. Here, we investigated the spatiotemporal brain dynamics underlying
psilocybin-induced modulations during emotional face processing. Electrical
neuroimaging analyses were applied to visual evoked potentials in response to
emotional faces, following psilocybin and placebo administration. Our results
indicate a first time period of strength (i.e., Global Field Power) modulation
over the 168-189 ms poststimulus interval, induced by psilocybin. A second time
period of strength modulation was identified over the 211-242 ms poststimulus
interval. Source estimations over these 2 time periods further revealed decreased
activity in response to both neutral and fearful faces within limbic areas,
including amygdala and parahippocampal gyrus, and the right temporal cortex over 
the 168-189 ms interval, and reduced activity in response to happy faces within
limbic and right temporo-occipital brain areas over the 211-242 ms interval. Our 
results indicate a selective and temporally dissociable effect of psilocybin on
the neuronal correlates of emotional face processing, consistent with a
modulation of the top-down control.",NULL,170,"µg/kg body weight","Using a randomized, double-blind, placebo-controlled design, all participants
received either psilocybin or placebo in 2 separate sessions,
separated by at least 2 weeks.
Psilocybin was obtained through the Swiss Federal Office for Public
Health. Psilocybin (170 μg/kg) and lactose placebo were administered
in gelatin capsules of identical number and appearance, as previously
described (Kometer et al. 2011; Schmidt et al. 2013). Participants remained
monitored until all acute drug effects had worn off, and were
subsequently released into the custody of a partner.",Psilocybin,"capsule (oral)",7.17,16.01,16.02,31.09,23.28,22.61,31.47,29.20,41.88,33.91,26.32,32.03,51.65,39.56,25.75,31.09,23.53,26.38,21.36,27.32,11.79,20.72
214,30,0,300,NULL,healthy,5D-ASC(11D+2D),25052243,10.1177/0269881114542454,"Schmid Y","2014 Sep","Schmid, Y., Hysek, C.M., Simmler, L.D., Crockett, M.J., Quednow, B.B. & Liechti, M.E. (2014) Differential effects of MDMA and methylphenidate on social cognition. Journal of psychopharmacology (Oxford, England), 9, 847-56.","Social cognition is important in everyday-life social interactions. The social
cognitive effects of 3,4-methylenedioxymethamphetamine (MDMA, 'ecstasy') and
methylphenidate (both used for neuroenhancement and as party drugs) are largely
unknown. We investigated the acute effects of MDMA (75 mg), methylphenidate (40
mg) and placebo using the Facial Emotion Recognition Task, Multifaceted Empathy
Test, Movie for the Assessment of Social Cognition, Social Value Orientation Test
and the Moral Judgment Task in a cross-over study in 30 healthy subjects.
Additionally, subjective, autonomic, pharmacokinetic, endocrine and adverse drug 
effects were measured. MDMA enhanced emotional empathy for positive emotionally
charged situations in the MET and tended to reduce the recognition of sad faces
in the Facial Emotion Recognition Task. MDMA had no effects on cognitive empathy 
in the Multifaceted Empathy Test or social cognitive inferences in the Movie for 
the Assessment of Social Cognition. MDMA produced subjective 'empathogenic'
effects, such as drug liking, closeness to others, openness and trust. In
contrast, methylphenidate lacked such subjective effects and did not alter
emotional processing, empathy or mental perspective-taking. MDMA but not
methylphenidate increased the plasma levels of oxytocin and prolactin. None of
the drugs influenced moral judgment. Effects on emotion recognition and emotional
empathy were evident at a low dose of MDMA and likely contribute to the
popularity of the drug.",NULL,75,mg,NULL,MDMA,"capsule (oral)",0.61,1.70,0.69,2.96,21.12,22.46,9.77,2.52,3.46,6.24,5.99,11.01,1.22,3.89,6.61,11.12,7.37,9.37,4.02,8.38,1.84,6.41
215,30,0,300,NULL,healthy,5D-ASC(11D+2D),25052243,10.1177/0269881114542454,"Schmid Y","2014 Sep","Schmid, Y., Hysek, C.M., Simmler, L.D., Crockett, M.J., Quednow, B.B. & Liechti, M.E. (2014) Differential effects of MDMA and methylphenidate on social cognition. Journal of psychopharmacology (Oxford, England), 9, 847-56.","Social cognition is important in everyday-life social interactions. The social
cognitive effects of 3,4-methylenedioxymethamphetamine (MDMA, 'ecstasy') and
methylphenidate (both used for neuroenhancement and as party drugs) are largely
unknown. We investigated the acute effects of MDMA (75 mg), methylphenidate (40
mg) and placebo using the Facial Emotion Recognition Task, Multifaceted Empathy
Test, Movie for the Assessment of Social Cognition, Social Value Orientation Test
and the Moral Judgment Task in a cross-over study in 30 healthy subjects.
Additionally, subjective, autonomic, pharmacokinetic, endocrine and adverse drug 
effects were measured. MDMA enhanced emotional empathy for positive emotionally
charged situations in the MET and tended to reduce the recognition of sad faces
in the Facial Emotion Recognition Task. MDMA had no effects on cognitive empathy 
in the Multifaceted Empathy Test or social cognitive inferences in the Movie for 
the Assessment of Social Cognition. MDMA produced subjective 'empathogenic'
effects, such as drug liking, closeness to others, openness and trust. In
contrast, methylphenidate lacked such subjective effects and did not alter
emotional processing, empathy or mental perspective-taking. MDMA but not
methylphenidate increased the plasma levels of oxytocin and prolactin. None of
the drugs influenced moral judgment. Effects on emotion recognition and emotional
empathy were evident at a low dose of MDMA and likely contribute to the
popularity of the drug.",NULL,40,mg,NULL,Methylphenidate,"capsule (oral)",0.06,0.22,0.22,1.20,2.34,5.75,2.40,6.13,0.48,1.92,0.54,2.08,0.00,0.00,0.76,2.03,1.55,4.16,0.80,2.25,0.11,0.44
220,16,0,1440,NULL,healthy,5D-ASC(11D+2D),25575620,10.1016/j.biopsych.2014.11.015,"Schmid Y","2015 Oct 15","Schmid, Y., Enzler, F., Gasser, P., Grouzmann, E., Preller, K.H., Vollenweider, F.X., Brenneisen, R., MÃ¼ller, F., Borgwardt, S. & Liechti, M.E. (2015) Acute Effects of Lysergic Acid Diethylamide in Healthy Subjects. Biological psychiatry, 8, 544-53.","BACKGROUND: After no research in humans for >40 years, there is renewed interest 
in using lysergic acid diethylamide (LSD) in clinical psychiatric research and
practice. There are no modern studies on the subjective and autonomic effects of 
LSD, and its endocrine effects are unknown. In animals, LSD disrupts prepulse
inhibition (PPI) of the acoustic startle response, and patients with
schizophrenia exhibit similar impairments in PPI. However, no data are available 
on the effects of LSD on PPI in humans.
METHODS: In a double-blind, randomized, placebo-controlled, crossover study, LSD 
(200 Î¼g) and placebo were administered to 16 healthy subjects (8 women, 8 men).
Outcome measures included psychometric scales; investigator ratings; PPI of the
acoustic startle response; and autonomic, endocrine, and adverse effects.
RESULTS: Administration of LSD to healthy subjects produced pronounced
alterations in waking consciousness that lasted 12 hours. The predominant effects
induced by LSD included visual hallucinations, audiovisual synesthesia, and
positively experienced derealization and depersonalization phenomena. Subjective 
well-being, happiness, closeness to others, openness, and trust were increased by
LSD. Compared with placebo, LSD decreased PPI. LSD significantly increased blood 
pressure, heart rate, body temperature, pupil size, plasma cortisol, prolactin,
oxytocin, and epinephrine. Adverse effects produced by LSD completely subsided
within 72 hours. No severe acute adverse effects were observed.
CONCLUSIONS: In addition to marked hallucinogenic effects, LSD exerts
methylenedioxymethamphetamine-like empathogenic mood effects that may be useful
in psychotherapy. LSD altered sensorimotor gating in a human model of psychosis, 
supporting the use of LSD in translational psychiatric research. In a controlled 
clinical setting, LSD can be used safely, but it produces significant
sympathomimetic stimulation.",NULL,200,µg,NULL,LSD,"capsule (oral)",14.33,29.91,85.67,26.17,67.29,32.40,66.98,26.17,56.07,31.15,45.48,32.40,69.16,23.68,48.91,24.92,39.25,29.91,46.11,31.15,31.78,33.64
245,20,0,270,NULL,healthy,5D-ASC(11D+2D),26847689,10.1017/S0033291715002901,"Carhart-Harris RL","2016 May","Carhart-Harris, R.L., Kaelen, M., Bolstridge, M., Williams, T.M., Williams, L.T., Underwood, R., Feilding, A. & Nutt, D.J. (2016) The paradoxical psychological effects of lysergic acid diethylamide (LSD). Psychological medicine, 7, 1379-90.","BACKGROUND: Lysergic acid diethylamide (LSD) is a potent serotonergic
hallucinogen or psychedelic that modulates consciousness in a marked and novel
way. This study sought to examine the acute and mid-term psychological effects of
LSD in a controlled study.
METHOD: A total of 20 healthy volunteers participated in this within-subjects
study. Participants received LSD (75 Âµg, intravenously) on one occasion and
placebo (saline, intravenously) on another, in a balanced order, with at least 2 
weeks separating sessions. Acute subjective effects were measured using the
Altered States of Consciousness questionnaire and the Psychotomimetic States
Inventory (PSI). A measure of optimism (the Revised Life Orientation Test), the
Revised NEO Personality Inventory, and the Peter's Delusions Inventory were
issued at baseline and 2 weeks after each session.
RESULTS: LSD produced robust psychological effects; including heightened mood but
also high scores on the PSI, an index of psychosis-like symptoms. Increased
optimism and trait openness were observed 2 weeks after LSD (and not placebo) and
there were no changes in delusional thinking.
CONCLUSIONS: The present findings reinforce the view that psychedelics elicit
psychosis-like symptoms acutely yet improve psychological wellbeing in the mid to
long term. It is proposed that acute alterations in mood are secondary to a more 
fundamental modulation in the quality of cognition, and that increased cognitive 
flexibility subsequent to serotonin 2A receptor (5-HT2AR) stimulation promotes
emotional lability during intoxication and leaves a residue of 'loosened
cognition' in the mid to long term that is conducive to improved psychological
wellbeing.",NULL,75,µg,"The study physician inserted a cannula into a vein in the antecubital fossa in preparation for intravenous (i.v.) dosing and the volunteer was encouraged to relax prior to drug/placebo administration. The dose of LSD was 75 μg (by mouth; p.o.) in 10 ml saline. Previous research has found this dose to produce robust psychological effects that are generally well tolerated(Carhart-Harris et al. 2014a). Placebo was 10 ml saline (i.v.). Both solutions were infused over 2 min.",LSD,i.v.,16.55,0.00,59.79,0.00,40.02,0.00,35.31,0.00,52.96,0.00,37.92,0.00,75.37,0.00,37.18,0.00,25.35,0.00,36.11,0.00,27.52,0.00
276,20,0,130,NULL,NULL,5D-ASC(11D+2D),27071089,10.1073/pnas.1518377113,"Carhart-Harris RL","2016 Apr 26","Carhart-Harris, R.L., Muthukumaraswamy, S., Roseman, L., Kaelen, M., Droog, W., Murphy, K., Tagliazucchi, E., Schenberg, E.E., Nest, T., Orban, C., Leech, R., Williams, L.T., Williams, T.M., Bolstridge, M., Sessa, B., McGonigle, J., Sereno, M.I., Nichols, D., Hellyer, P.J., Hobden, P., Evans, J., Singh, K.D., Wise, R.G., Curran, H.V., Feilding, A. & Nutt, D.J. (2016) Neural correlates of the LSD experience revealed by multimodal neuroimaging. Proceedings of the National Academy of Sciences of the United States of America, 17, 4853-8.","Lysergic acid diethylamide (LSD) is the prototypical psychedelic drug, but its
effects on the human brain have never been studied before with modern
neuroimaging. Here, three complementary neuroimaging techniques: arterial spin
labeling (ASL), blood oxygen level-dependent (BOLD) measures, and
magnetoencephalography (MEG), implemented during resting state conditions,
revealed marked changes in brain activity after LSD that correlated strongly with
its characteristic psychological effects. Increased visual cortex cerebral blood 
flow (CBF), decreased visual cortex alpha power, and a greatly expanded primary
visual cortex (V1) functional connectivity profile correlated strongly with
ratings of visual hallucinations, implying that intrinsic brain activity exerts
greater influence on visual processing in the psychedelic state, thereby defining
its hallucinatory quality. LSD's marked effects on the visual cortex did not
significantly correlate with the drug's other characteristic effects on
consciousness, however. Rather, decreased connectivity between the
parahippocampus and retrosplenial cortex (RSC) correlated strongly with ratings
of ""ego-dissolution"" and ""altered meaning,"" implying the importance of this
particular circuit for the maintenance of ""self"" or ""ego"" and its processing of
""meaning."" Strong relationships were also found between the different imaging
metrics, enabling firmer inferences to be made about their functional
significance. This uniquely comprehensive examination of the LSD state represents
an important advance in scientific research with psychedelic drugs at a time of
growing interest in their scientific and therapeutic value. The present results
contribute important new insights into the characteristic hallucinatory and
consciousness-altering properties of psychedelics that inform on how they can
model certain pathological states and potentially treat others.",NULL,75,µg,"Data were acquired during eye-closed, task-free, “resting state” conditions. Drug/placebo were administered in solution and injected i.v. over the course of 2 min. Two resting state ASL scans totaling 16 min were completed 100 min after i.v. administration of LSD (75 µg in 10 mL saline) or placebo (10 mL saline), corresponding to the initial phase of the peak subjective effects of LSD (peak effects were reached ∼120–150 min postinfusion).",LSD,i.v.,0.11,NULL,0.56,NULL,0.33,NULL,0.33,NULL,0.45,NULL,0.34,NULL,0.71,NULL,0.29,NULL,0.25,NULL,0.30,NULL,0.22,NULL
278,21,0,360,NULL,NULL,5D-ASC(11D+2D),27091970,10.1073/pnas.1524187113,"Preller KH","2016 May 3","Preller, K.H., Pokorny, T., Hock, A., Kraehenmann, R., StÃ¤mpfli, P., Seifritz, E., Scheidegger, M. & Vollenweider, F.X. (2016) Effects of serotonin 2A/1A receptor stimulation on social exclusion processing. Proceedings of the National Academy of Sciences of the United States of America, 18, 5119-24.","Social ties are crucial for physical and mental health. However, psychiatric
patients frequently encounter social rejection. Moreover, an increased reactivity
to social exclusion influences the development, progression, and treatment of
various psychiatric disorders. Nevertheless, the neuromodulatory substrates of
rejection experiences are largely unknown. The preferential serotonin (5-HT)
2A/1A receptor agonist, psilocybin (Psi), reduces the processing of negative
stimuli, but whether 5-HT2A/1A receptor stimulation modulates the processing of
negative social interactions remains unclear. Therefore, this double-blind,
randomized, counterbalanced, cross-over study assessed the neural response to
social exclusion after the acute administration of Psi (0.215 mg/kg) or placebo
(Pla) in 21 healthy volunteers by using functional magnetic resonance imaging
(fMRI) and resting-state magnetic resonance spectroscopy (MRS). Participants
reported a reduced feeling of social exclusion after Psi vs. Pla administration, 
and the neural response to social exclusion was decreased in the dorsal anterior 
cingulate cortex (dACC) and the middle frontal gyrus, key regions for social pain
processing. The reduced neural response in the dACC was significantly correlated 
with Psi-induced changes in self-processing and decreased aspartate (Asp)
content. In conclusion, 5-HT2A/1A receptor stimulation with psilocybin seems to
reduce social pain processing in association with changes in self-experience.
These findings may be relevant to the normalization of negative social
interaction processing in psychiatric disorders characterized by increased
rejection sensitivity. The current results also emphasize the importance of
5-HT2A/1A receptor subtypes and the Asp system in the control of social
functioning, and as prospective targets in the treatment of sociocognitive
impairments in psychiatric illnesses.",NULL,215,"mg/kg body weight","Subjects received either Pla (maltose) or oral Psi (0.215mg/kg) in two separate sessions spaced at least 10 d apart.",Psilocybin,oral,7.41,14.66,63.37,39.96,45.34,28.64,49.99,28.64,68.74,31.34,40.40,33.95,66.56,26.67,35.17,25.98,25.14,21.99,37.49,30.65,15.55,19.98
280,24,0,180,NULL,healthy,5D-ASC(11D+2D),27714429,10.1007/s00213-016-4453-0,"Liechti ME","2017 May","Liechti, M.E., Dolder, P.C. & Schmid, Y. (2017) Alterations of consciousness and mystical-type experiences after acute LSD in humans. Psychopharmacology, 9-10, 1499-1510.","RATIONALE: Lysergic acid diethylamide (LSD) is used recreationally and in
clinical research. Acute mystical-type experiences that are acutely induced by
hallucinogens are thought to contribute to their potential therapeutic effects.
However, no data have been reported on LSD-induced mystical experiences and their
relationship to alterations of consciousness. Additionally, LSD dose- and
concentration-response functions with regard to alterations of consciousness are 
lacking.
METHODS: We conducted two placebo-controlled, double-blind, cross-over studies
using oral administration of 100 and 200Â Î¼g LSD in 24 and 16 subjects,
respectively. Acute effects of LSD were assessed using the 5 Dimensions of
Altered States of Consciousness (5D-ASC) scale after both doses and the Mystical 
Experience Questionnaire (MEQ) after 200Â Î¼g.
RESULTS: On the MEQ, 200Â Î¼g LSD induced mystical experiences that were comparable
to those in patients who underwent LSD-assisted psychotherapy but were fewer than
those reported for psilocybin in healthy subjects or patients. On the 5D-ASC
scale, LSD produced higher ratings of blissful state, insightfulness, and changed
meaning of percepts after 200Â Î¼g compared with 100Â Î¼g. Plasma levels of LSD were 
not positively correlated with its effects, with the exception of ego dissolution
at 100Â Î¼g.
CONCLUSIONS: Mystical-type experiences were infrequent after LSD, possibly
because of the set and setting used in the present study. LSD may produce greater
or different alterations of consciousness at 200Â Î¼g (i.e., a dose that is
currently used in psychotherapy in Switzerland) compared with 100Â Î¼g (i.e., a
dose used in imaging studies). Ego dissolution may reflect plasma levels of LSD, 
whereas more robustly induced effects of LSD may not result in such associations.",NULL,100,µg,NULL,LSD,"capsule (oral)",12.36,17.50,64.01,43.07,40.66,29.61,41.21,32.30,54.95,28.26,48.08,29.61,65.38,25.57,50.82,32.30,45.60,21.53,26.37,28.26,16.48,18.84
