experiment_id,nr_of_subjects,is_control,questionnaire_applied_after,reference_of_experience,subject_health,quest_abbreviation,pubmed_id,doi,main_author,date_published,reference_text,abstract_text,paper_link,dosage_quantity,dosage_unit,info_induction,induction_method,injection_method,Anxiety_mean,Anxiety_std,Audio_visual_synesthesia_mean,Audio_visual_synesthesia_std,Blissful_state_mean,Blissful_state_std,Changed_meaning_of_percepts_mean,Changed_meaning_of_percepts_std,Complex_imagery_mean,Complex_imagery_std,Disembodiment_mean,Disembodiment_std,Elementary_imagery_mean,Elementary_imagery_std,Experience_of_unity_mean,Experience_of_unity_std,Impaired_control_and_cognition_mean,Impaired_control_and_cognition_std,Insightfulness_mean,Insightfulness_std,Spiritual_experience_mean,Spiritual_experience_std
281,24,0,600,NULL,healthy,5D-ASC(11D+2D),27714429,10.1007/s00213-016-4453-0,"Liechti ME","2017 May","Liechti, M.E., Dolder, P.C. & Schmid, Y. (2017) Alterations of consciousness and mystical-type experiences after acute LSD in humans. Psychopharmacology, 9-10, 1499-1510.","RATIONALE: Lysergic acid diethylamide (LSD) is used recreationally and in
clinical research. Acute mystical-type experiences that are acutely induced by
hallucinogens are thought to contribute to their potential therapeutic effects.
However, no data have been reported on LSD-induced mystical experiences and their
relationship to alterations of consciousness. Additionally, LSD dose- and
concentration-response functions with regard to alterations of consciousness are 
lacking.
METHODS: We conducted two placebo-controlled, double-blind, cross-over studies
using oral administration of 100 and 200Â Î¼g LSD in 24 and 16 subjects,
respectively. Acute effects of LSD were assessed using the 5 Dimensions of
Altered States of Consciousness (5D-ASC) scale after both doses and the Mystical 
Experience Questionnaire (MEQ) after 200Â Î¼g.
RESULTS: On the MEQ, 200Â Î¼g LSD induced mystical experiences that were comparable
to those in patients who underwent LSD-assisted psychotherapy but were fewer than
those reported for psilocybin in healthy subjects or patients. On the 5D-ASC
scale, LSD produced higher ratings of blissful state, insightfulness, and changed
meaning of percepts after 200Â Î¼g compared with 100Â Î¼g. Plasma levels of LSD were 
not positively correlated with its effects, with the exception of ego dissolution
at 100Â Î¼g.
CONCLUSIONS: Mystical-type experiences were infrequent after LSD, possibly
because of the set and setting used in the present study. LSD may produce greater
or different alterations of consciousness at 200Â Î¼g (i.e., a dose that is
currently used in psychotherapy in Switzerland) compared with 100Â Î¼g (i.e., a
dose used in imaging studies). Ego dissolution may reflect plasma levels of LSD, 
whereas more robustly induced effects of LSD may not result in such associations.",NULL,100,µg,NULL,LSD,"capsule (oral)",7.69,0.00,53.23,40.38,34.34,30.60,34.07,26.09,43.41,39.03,41.21,34.99,52.47,37.68,38.74,36.34,29.67,24.23,22.80,28.26,16.48,20.19
282,24,0,1440,NULL,healthy,5D-ASC(11D+2D),27714429,10.1007/s00213-016-4453-0,"Liechti ME","2017 May","Liechti, M.E., Dolder, P.C. & Schmid, Y. (2017) Alterations of consciousness and mystical-type experiences after acute LSD in humans. Psychopharmacology, 9-10, 1499-1510.","RATIONALE: Lysergic acid diethylamide (LSD) is used recreationally and in
clinical research. Acute mystical-type experiences that are acutely induced by
hallucinogens are thought to contribute to their potential therapeutic effects.
However, no data have been reported on LSD-induced mystical experiences and their
relationship to alterations of consciousness. Additionally, LSD dose- and
concentration-response functions with regard to alterations of consciousness are 
lacking.
METHODS: We conducted two placebo-controlled, double-blind, cross-over studies
using oral administration of 100 and 200Â Î¼g LSD in 24 and 16 subjects,
respectively. Acute effects of LSD were assessed using the 5 Dimensions of
Altered States of Consciousness (5D-ASC) scale after both doses and the Mystical 
Experience Questionnaire (MEQ) after 200Â Î¼g.
RESULTS: On the MEQ, 200Â Î¼g LSD induced mystical experiences that were comparable
to those in patients who underwent LSD-assisted psychotherapy but were fewer than
those reported for psilocybin in healthy subjects or patients. On the 5D-ASC
scale, LSD produced higher ratings of blissful state, insightfulness, and changed
meaning of percepts after 200Â Î¼g compared with 100Â Î¼g. Plasma levels of LSD were 
not positively correlated with its effects, with the exception of ego dissolution
at 100Â Î¼g.
CONCLUSIONS: Mystical-type experiences were infrequent after LSD, possibly
because of the set and setting used in the present study. LSD may produce greater
or different alterations of consciousness at 200Â Î¼g (i.e., a dose that is
currently used in psychotherapy in Switzerland) compared with 100Â Î¼g (i.e., a
dose used in imaging studies). Ego dissolution may reflect plasma levels of LSD, 
whereas more robustly induced effects of LSD may not result in such associations.",NULL,100,µg,NULL,LSD,"capsule (oral)",6.04,0.01,65.66,34.99,38.19,0.01,36.00,18.84,53.02,0.01,44.78,8.07,64.01,32.30,42.58,32.24,32.14,21.53,24.45,0.01,22.25,24.23
284,16,0,180-1440,NULL,healthy,5D-ASC(11D+2D),27714429,10.1007/s00213-016-4453-0,"Liechti ME","2017 May","Liechti, M.E., Dolder, P.C. & Schmid, Y. (2017) Alterations of consciousness and mystical-type experiences after acute LSD in humans. Psychopharmacology, 9-10, 1499-1510.","RATIONALE: Lysergic acid diethylamide (LSD) is used recreationally and in
clinical research. Acute mystical-type experiences that are acutely induced by
hallucinogens are thought to contribute to their potential therapeutic effects.
However, no data have been reported on LSD-induced mystical experiences and their
relationship to alterations of consciousness. Additionally, LSD dose- and
concentration-response functions with regard to alterations of consciousness are 
lacking.
METHODS: We conducted two placebo-controlled, double-blind, cross-over studies
using oral administration of 100 and 200Â Î¼g LSD in 24 and 16 subjects,
respectively. Acute effects of LSD were assessed using the 5 Dimensions of
Altered States of Consciousness (5D-ASC) scale after both doses and the Mystical 
Experience Questionnaire (MEQ) after 200Â Î¼g.
RESULTS: On the MEQ, 200Â Î¼g LSD induced mystical experiences that were comparable
to those in patients who underwent LSD-assisted psychotherapy but were fewer than
those reported for psilocybin in healthy subjects or patients. On the 5D-ASC
scale, LSD produced higher ratings of blissful state, insightfulness, and changed
meaning of percepts after 200Â Î¼g compared with 100Â Î¼g. Plasma levels of LSD were 
not positively correlated with its effects, with the exception of ego dissolution
at 100Â Î¼g.
CONCLUSIONS: Mystical-type experiences were infrequent after LSD, possibly
because of the set and setting used in the present study. LSD may produce greater
or different alterations of consciousness at 200Â Î¼g (i.e., a dose that is
currently used in psychotherapy in Switzerland) compared with 100Â Î¼g (i.e., a
dose used in imaging studies). Ego dissolution may reflect plasma levels of LSD, 
whereas more robustly induced effects of LSD may not result in such associations.",NULL,200,µg,NULL,LSD,"capsule (oral)",14.91,24.37,86.79,25.34,68.03,31.19,67.54,25.34,57.07,28.27,46.35,30.21,69.98,22.42,49.76,23.39,39.52,28.27,47.08,29.24,32.45,30.21
312,32,0,360,NULL,NULL,5D-ASC(11D+2D),28637246,10.1093/ijnp/pyx047,"Pokorny T","2017 Sep 1","Pokorny, T., Preller, K.H., Kometer, M., Dziobek, I. & Vollenweider, F.X. (2017) Effect of Psilocybin on Empathy and Moral Decision-Making. The international journal of neuropsychopharmacology, 9, 747-757.","Background: Impaired empathic abilities lead to severe negative social
consequences and influence the development and treatment of several psychiatric
disorders. Furthermore, empathy has been shown to play a crucial role in moral
and prosocial behavior. Although the serotonin system has been implicated in
modulating empathy and moral behavior, the relative contribution of the various
serotonin receptor subtypes is still unknown.
Methods: We investigated the acute effect of psilocybin (0.215 mg/kg p.o.) in
healthy human subjects on different facets of empathy and hypothetical moral
decision-making using the multifaceted empathy test (n=32) and the moral dilemma 
task (n=24).
Results: Psilocybin significantly increased emotional, but not cognitive empathy 
compared with placebo, and the increase in implicit emotional empathy was
significantly associated with psilocybin-induced changed meaning of percepts. In 
contrast, moral decision-making remained unaffected by psilocybin.
Conclusions: These findings provide first evidence that psilocybin has distinct
effects on social cognition by enhancing emotional empathy but not moral
behavior. Furthermore, together with previous findings, psilocybin appears to
promote emotional empathy presumably via activation of serotonin 2A/1A receptors,
suggesting that targeting serotonin 2A/1A receptors has implications for
potential treatment of dysfunctional social cognition.",NULL,215,"mg/kg body weight","""Each participant received psilocybin on one session (0.215 mg/
 kg body weight, p.o.) and the same amount of identical-looking
 gelatine capsules containing placebo (mannitol) on the other
 session. The 2 sessions were separated by at least 10 days""",Psilocybin,"capsule (oral)",6.81,10.10,58.78,37.44,41.57,29.42,42.10,29.42,58.78,32.36,35.48,32.47,61.65,27.38,31.70,26.47,22.04,18.27,33.33,28.34,13.98,17.25
325,25,0,390,NULL,NULL,5D-ASC(11D+2D),29167644,10.3389/fphar.2017.00814,"Kraehenmann R",2017,"Kraehenmann, R., Pokorny, D., Aicher, H., Preller, K.H., Pokorny, T., Bosch, O.G., Seifritz, E. & Vollenweider, F.X. (2017) LSD Increases Primary Process Thinking via Serotonin 2A Receptor Activation. Frontiers in pharmacology, , 814.","Rationale: Stimulation of serotonin 2A (5-HT2A) receptors by lysergic acid
diethylamide (LSD) and related compounds such as psilocybin has previously been
shown to increase primary process thinking - an ontologically and evolutionary
early, implicit, associative, and automatic mode of thinking which is typically
occurring during altered states of consciousness such as dreaming. However, it is
still largely unknown whether LSD induces primary process thinking under
placebo-controlled, standardized experimental conditions and whether these
effects are related to subjective experience and 5-HT2A receptor activation.
Therefore, this study aimed to test the hypotheses that LSD increases primary
process thinking and that primary process thinking depends on 5-HT2A receptor
activation and is related to subjective drug effects. Methods: Twenty-five
healthy subjects performed an audio-recorded mental imagery task 7 h after drug
administration during three drug conditions: placebo, LSD (100 mcg orally) and
LSD together with the 5-HT2A receptor antagonist ketanserin (40 mg orally). The
main outcome variable in this study was primary index (PI), a formal measure of
primary process thinking in the imagery reports. State of consciousness was
evaluated using the Altered State of Consciousness (5D-ASC) rating scale.
Results: LSD, compared with placebo, significantly increased primary index (p <
0.001, Bonferroni-corrected). The LSD-induced increase in primary index was
positively correlated with LSD-induced disembodiment (p < 0.05,
Bonferroni-corrected), and blissful state (p < 0.05, Bonferroni-corrected) on the
5D-ASC. Both LSD-induced increases in primary index and changes in state of
consciousness were fully blocked by ketanserin. Conclusion: LSD induces primary
process thinking via activation of 5-HT2A receptors and in relation to
disembodiment and blissful state. Primary process thinking appears to crucially
organize inner experiences during both dreams and psychedelic states of
consciousness.",NULL,"40 + 100","mg + µg","""In each of the three experimental sessions, subjects first received pre-treatment, followed by treatment after 1 h. The drug conditions were LSD (placebo C 100 mcg LSD orally), KetCLSD (40 mg ketanserin C 100 mcg LSD orally), and Pla
 (placebo C placebo orally)."" + ""In each of the three experimental sessions, subjects first received pre-treatment, followed by treatment after 1 h. The drug conditions were LSD (placebo C 100 mcg LSD orally), KetCLSD (40 mg ketanserin C 100 mcg LSD orally), and Pla
 (placebo C placebo orally).""","Ketanserin + LSD","oral + oral",NULL,NULL,NULL,NULL,1.13,3.20,0.00,0.00,NULL,NULL,0.48,2.40,0.80,4.85,NULL,NULL,NULL,NULL,NULL,NULL,0.00,0.00
326,25,0,390,NULL,NULL,5D-ASC(11D+2D),29167644,10.3389/fphar.2017.00814,"Kraehenmann R",2017,"Kraehenmann, R., Pokorny, D., Aicher, H., Preller, K.H., Pokorny, T., Bosch, O.G., Seifritz, E. & Vollenweider, F.X. (2017) LSD Increases Primary Process Thinking via Serotonin 2A Receptor Activation. Frontiers in pharmacology, , 814.","Rationale: Stimulation of serotonin 2A (5-HT2A) receptors by lysergic acid
diethylamide (LSD) and related compounds such as psilocybin has previously been
shown to increase primary process thinking - an ontologically and evolutionary
early, implicit, associative, and automatic mode of thinking which is typically
occurring during altered states of consciousness such as dreaming. However, it is
still largely unknown whether LSD induces primary process thinking under
placebo-controlled, standardized experimental conditions and whether these
effects are related to subjective experience and 5-HT2A receptor activation.
Therefore, this study aimed to test the hypotheses that LSD increases primary
process thinking and that primary process thinking depends on 5-HT2A receptor
activation and is related to subjective drug effects. Methods: Twenty-five
healthy subjects performed an audio-recorded mental imagery task 7 h after drug
administration during three drug conditions: placebo, LSD (100 mcg orally) and
LSD together with the 5-HT2A receptor antagonist ketanserin (40 mg orally). The
main outcome variable in this study was primary index (PI), a formal measure of
primary process thinking in the imagery reports. State of consciousness was
evaluated using the Altered State of Consciousness (5D-ASC) rating scale.
Results: LSD, compared with placebo, significantly increased primary index (p <
0.001, Bonferroni-corrected). The LSD-induced increase in primary index was
positively correlated with LSD-induced disembodiment (p < 0.05,
Bonferroni-corrected), and blissful state (p < 0.05, Bonferroni-corrected) on the
5D-ASC. Both LSD-induced increases in primary index and changes in state of
consciousness were fully blocked by ketanserin. Conclusion: LSD induces primary
process thinking via activation of 5-HT2A receptors and in relation to
disembodiment and blissful state. Primary process thinking appears to crucially
organize inner experiences during both dreams and psychedelic states of
consciousness.",NULL,100,µg,"""In each of the three experimental sessions, subjects first received pre-treatment, followed by treatment after 1 h. The drug conditions were LSD (placebo C 100 mcg LSD orally), KetCLSD (40 mg ketanserin C 100 mcg LSD orally), and Pla
 (placebo C placebo orally).""",LSD,oral,NULL,NULL,NULL,NULL,27.00,28.00,28.45,30.75,NULL,NULL,35.50,33.50,39.70,31.00,NULL,NULL,NULL,NULL,NULL,NULL,17.68,24.10
329,19,0,NULL,NULL,healthy,5D-ASC(11D+2D),22030715,10.1038/npp.2011.261,"Schmidt A","2012 Mar","Schmidt, A., Bachmann, R., Kometer, M., Csomor, P.A., Stephan, K.E., Seifritz, E. & Vollenweider, F.X. (2012) Mismatch negativity encoding of prediction errors predicts S-ketamine-induced cognitive impairments. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 865-75.","Psychotomimetics like the N-methyl-D-aspartate receptor (NMDAR) antagonist
ketamine and the 5-hydroxytryptamine2A receptor (5-HT(2A)R) agonist psilocybin
induce psychotic symptoms in healthy volunteers that resemble those of
schizophrenia. Recent theories of psychosis posit that aberrant encoding of
prediction errors (PE) may underlie the expression of psychotic symptoms. This
study used a roving mismatch negativity (MMN) paradigm to investigate whether the
encoding of PE is affected by pharmacological manipulation of NMDAR or 5-HT(2A)R,
and whether the encoding of PE under placebo can be used to predict drug-induced 
symptoms. Using a double-blind within-subject placebo-controlled design,
S-ketamine and psilocybin, respectively, were administrated to two groups of
healthy subjects. Psychological alterations were assessed using a revised version
of the Altered States of Consciousness (ASC-R) questionnaire. As an index of PE, 
we computed changes in MMN amplitudes as a function of the number of preceding
standards (MMN memory trace effect) during a roving paradigm. S-ketamine, but not
psilocybin, disrupted PE processing as expressed by a frontally disrupted MMN
memory trace effect. Although both drugs produced positive-like symptoms, the
extent of PE processing under placebo only correlated significantly with the
severity of cognitive impairments induced by S-ketamine. Our results suggest that
the NMDAR, but not the 5-HT(2A)R system, is implicated in PE processing during
the MMN paradigm, and that aberrant PE signaling may contribute to the formation 
of cognitive impairments. The assessment of the MMN memory trace in schizophrenia
may allow detecting early phases of the illness and might also serve to assess
the efficacy of novel pharmacological treatments, in particular of cognitive
impairments.",NULL,10.006,"mg/5min + mg/kg/min
","bolus injection over 5 min with 10 mg of ketamine was given. Following 1 min break, a continuous infusion with
0.006mg/kg per min was started","Ketamine (S-Ketamine)",injection,6.77,7.53,26.24,29.32,24.05,17.44,19.02,23.77,15.82,21.00,37.03,29.72,11.71,22.19,28.56,27.74,27.30,13.47,17.36,25.36,11.61,18.23
330,20,0,NULL,NULL,healthy,5D-ASC(11D+2D),22030715,10.1038/npp.2011.261,"Schmidt A","2012 Mar","Schmidt, A., Bachmann, R., Kometer, M., Csomor, P.A., Stephan, K.E., Seifritz, E. & Vollenweider, F.X. (2012) Mismatch negativity encoding of prediction errors predicts S-ketamine-induced cognitive impairments. Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology, 4, 865-75.","Psychotomimetics like the N-methyl-D-aspartate receptor (NMDAR) antagonist
ketamine and the 5-hydroxytryptamine2A receptor (5-HT(2A)R) agonist psilocybin
induce psychotic symptoms in healthy volunteers that resemble those of
schizophrenia. Recent theories of psychosis posit that aberrant encoding of
prediction errors (PE) may underlie the expression of psychotic symptoms. This
study used a roving mismatch negativity (MMN) paradigm to investigate whether the
encoding of PE is affected by pharmacological manipulation of NMDAR or 5-HT(2A)R,
and whether the encoding of PE under placebo can be used to predict drug-induced 
symptoms. Using a double-blind within-subject placebo-controlled design,
S-ketamine and psilocybin, respectively, were administrated to two groups of
healthy subjects. Psychological alterations were assessed using a revised version
of the Altered States of Consciousness (ASC-R) questionnaire. As an index of PE, 
we computed changes in MMN amplitudes as a function of the number of preceding
standards (MMN memory trace effect) during a roving paradigm. S-ketamine, but not
psilocybin, disrupted PE processing as expressed by a frontally disrupted MMN
memory trace effect. Although both drugs produced positive-like symptoms, the
extent of PE processing under placebo only correlated significantly with the
severity of cognitive impairments induced by S-ketamine. Our results suggest that
the NMDAR, but not the 5-HT(2A)R system, is implicated in PE processing during
the MMN paradigm, and that aberrant PE signaling may contribute to the formation 
of cognitive impairments. The assessment of the MMN memory trace in schizophrenia
may allow detecting early phases of the illness and might also serve to assess
the efficacy of novel pharmacological treatments, in particular of cognitive
impairments.",NULL,115,µg/kg,"Psilocybin was given per os at a dose of 115 μg/kg. The specific doses were chosen based on previous studies",Psilocybin,"capsule (oral)",3.04,8.95,26.24,29.68,28.41,22.77,29.02,20.33,25.09,18.30,12.67,13.42,26.16,20.33,18.38,18.71,16.48,13.01,17.45,24.40,8.79,13.42
340,16,0,240,NULL,healthy,5D-ASC(11D+2D),22574166,10.1371/journal.pone.0036477,"Hysek CM",2012,"Hysek, C.M., Simmler, L.D., Nicola, V.G., Vischer, N., Donzelli, M., KrÃ¤henbÃ¼hl, S., Grouzmann, E., Huwyler, J., Hoener, M.C. & Liechti, M.E. (2012) Duloxetine inhibits effects of MDMA (""ecstasy"") in vitro and in humans in a randomized placebo-controlled laboratory study. PloS one, 5, e36476.","This study assessed the effects of the serotonin (5-HT) and norepinephrine (NE)
transporter inhibitor duloxetine on the effects of
3,4-methylenedioxy-methamphetamine (MDMA, ecstasy) in vitro and in 16 healthy
subjects. The clinical study used a double-blind, randomized, placebo-controlled,
four-session, crossover design. In vitro, duloxetine blocked the release of both 
5-HT and NE by MDMA or by its metabolite 3,4-methylenedioxyamphetamine from
transmitter-loaded human cells expressing the 5-HT or NE transporter. In humans, 
duloxetine inhibited the effects of MDMA including elevations in circulating NE, 
increases in blood pressure and heart rate, and the subjective drug effects.
Duloxetine inhibited the pharmacodynamic response to MDMA despite an increase in 
duloxetine-associated elevations in plasma MDMA levels. The findings confirm the 
important role of MDMA-induced 5-HT and NE release in the psychotropic effects of
MDMA. Duloxetine may be useful in the treatment of psychostimulant
dependence.TRIAL REGISTRATION: Clinicaltrials.gov NCT00990067.",NULL,125,mg,NULL,MDMA,"capsule (oral)",3.30,12.18,1.90,5.78,51.16,31.98,32.57,27.41,10.14,12.79,20.23,27.11,0.84,3.65,26.67,24.67,21.74,23.15,10.57,17.06,2.67,5.79
341,16,1,240,NULL,healthy,5D-ASC(11D+2D),22574166,10.1371/journal.pone.0036477,"Hysek CM",2012,"Hysek, C.M., Simmler, L.D., Nicola, V.G., Vischer, N., Donzelli, M., KrÃ¤henbÃ¼hl, S., Grouzmann, E., Huwyler, J., Hoener, M.C. & Liechti, M.E. (2012) Duloxetine inhibits effects of MDMA (""ecstasy"") in vitro and in humans in a randomized placebo-controlled laboratory study. PloS one, 5, e36476.","This study assessed the effects of the serotonin (5-HT) and norepinephrine (NE)
transporter inhibitor duloxetine on the effects of
3,4-methylenedioxy-methamphetamine (MDMA, ecstasy) in vitro and in 16 healthy
subjects. The clinical study used a double-blind, randomized, placebo-controlled,
four-session, crossover design. In vitro, duloxetine blocked the release of both 
5-HT and NE by MDMA or by its metabolite 3,4-methylenedioxyamphetamine from
transmitter-loaded human cells expressing the 5-HT or NE transporter. In humans, 
duloxetine inhibited the effects of MDMA including elevations in circulating NE, 
increases in blood pressure and heart rate, and the subjective drug effects.
Duloxetine inhibited the pharmacodynamic response to MDMA despite an increase in 
duloxetine-associated elevations in plasma MDMA levels. The findings confirm the 
important role of MDMA-induced 5-HT and NE release in the psychotropic effects of
MDMA. Duloxetine may be useful in the treatment of psychostimulant
dependence.TRIAL REGISTRATION: Clinicaltrials.gov NCT00990067.",NULL,120,mg,NULL,Duloxetine,"capsule (oral)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
342,16,0,240,NULL,healthy,5D-ASC(11D+2D),22574166,10.1371/journal.pone.0036477,"Hysek CM",2012,"Hysek, C.M., Simmler, L.D., Nicola, V.G., Vischer, N., Donzelli, M., KrÃ¤henbÃ¼hl, S., Grouzmann, E., Huwyler, J., Hoener, M.C. & Liechti, M.E. (2012) Duloxetine inhibits effects of MDMA (""ecstasy"") in vitro and in humans in a randomized placebo-controlled laboratory study. PloS one, 5, e36476.","This study assessed the effects of the serotonin (5-HT) and norepinephrine (NE)
transporter inhibitor duloxetine on the effects of
3,4-methylenedioxy-methamphetamine (MDMA, ecstasy) in vitro and in 16 healthy
subjects. The clinical study used a double-blind, randomized, placebo-controlled,
four-session, crossover design. In vitro, duloxetine blocked the release of both 
5-HT and NE by MDMA or by its metabolite 3,4-methylenedioxyamphetamine from
transmitter-loaded human cells expressing the 5-HT or NE transporter. In humans, 
duloxetine inhibited the effects of MDMA including elevations in circulating NE, 
increases in blood pressure and heart rate, and the subjective drug effects.
Duloxetine inhibited the pharmacodynamic response to MDMA despite an increase in 
duloxetine-associated elevations in plasma MDMA levels. The findings confirm the 
important role of MDMA-induced 5-HT and NE release in the psychotropic effects of
MDMA. Duloxetine may be useful in the treatment of psychostimulant
dependence.TRIAL REGISTRATION: Clinicaltrials.gov NCT00990067.",NULL,"120 + 125","mg + mg",NULL,"Duloxetine + MDMA","capsule (oral) + capsule (oral)",0.18,0.00,0.30,0.00,9.13,15.53,3.41,8.83,1.99,6.09,3.24,4.26,0.08,0.00,4.97,7.01,6.89,10.96,2.57,8.22,0.23,0.00
346,17,0,360,NULL,healthy,5D-ASC(11D+2D),22578254,http://dx.doi.org/10.1016/j.biopsych.2012.04.005,"Kometer M","2012 Dec 1","Kometer, M., Schmidt, A., Bachmann, R., Studerus, E., Seifritz, E. & Vollenweider, F.X. (2012) Psilocybin biases facial recognition, goal-directed behavior, and mood state toward positive relative to negative emotions through different serotonergic subreceptors. Biological psychiatry, 11, 898-906.","BACKGROUND: Serotonin (5-HT) 1A and 2A receptors have been associated with
dysfunctional emotional processing biases in mood disorders. These receptors
further predominantly mediate the subjective and behavioral effects of psilocybin
and might be important for its recently suggested antidepressive effects.
However, the effect of psilocybin on emotional processing biases and the specific
contribution of 5-HT2A receptors across different emotional domains is unknown.
METHODS: In a randomized, double-blind study, 17 healthy human subjects received 
on 4 separate days placebo, psilocybin (215 Î¼g/kg), the preferential 5-HT2A
antagonist ketanserin (50 mg), or psilocybin plus ketanserin. Mood states were
assessed by self-report ratings, and behavioral and event-related potential
measurements were used to quantify facial emotional recognition and goal-directed
behavior toward emotional cues.
RESULTS: Psilocybin enhanced positive mood and attenuated recognition of negative
facial expression. Furthermore, psilocybin increased goal-directed behavior
toward positive compared with negative cues, facilitated positive but inhibited
negative sequential emotional effects, and valence-dependently attenuated the
P300 component. Ketanserin alone had no effects but blocked the
psilocybin-induced mood enhancement and decreased recognition of negative facial 
expression.
CONCLUSIONS: This study shows that psilocybin shifts the emotional bias across
various psychological domains and that activation of 5-HT2A receptors is central 
in mood regulation and emotional face recognition in healthy subjects. These
findings may not only have implications for the pathophysiology of dysfunctional 
emotional biases but may also provide a framework to delineate the mechanisms
underlying psylocybin's putative antidepressant effects.",NULL,50,μg/kg,"placebo or ketanserin (50mg) (pretreatment) followed after 1 hour by placebo or psyilocybin(215 g/kg) (treatment). These specific doses were chosen because they have previously been shown to effectively induce or block the associated changes in conscious states, respectively (41). The time delay between pretreatment and treatment was 1 hour to ensure maximal 5-HT2A receptor occupancy.",Ketanserin,"capsule (oral)",0.60,0.00,0.32,0.00,1.12,2.07,0.36,0.00,0.38,0.00,1.99,3.96,0.37,0.00,0.51,0.00,2.73,4.33,0.45,0.00,0.51,0.00
